Run,Cell,CellLine,s4U,Time,Method,Layout,Strand,Species,Total.Reads,Trimmed.Reads,Trimmed.Reads.Ratio,RiboRNA.Ratio,Clean.Reads,UniqMapped.Reads,UniqMapped.Ratio,Filtered.Reads,Uniq.Reads,Uniq.Ratio,Stranded.Reads,Forward,Reverse,Stranded.Ratio,AC.Ratio,AG.Ratio,AT.Ratio,CA.Ratio,CG.Ratio,CT.Ratio,GA.Ratio,GC.Ratio,GT.Ratio,TA.Ratio,TC.Ratio,TG.Ratio,Protein_coding,Protein_coding.Nascent,lncRNA,lncRNA.Nascent,Pe,Pc,Pc_Pe
20220113_NASCseq_K562,20220113_07_08,K562,100,3.0,NASC-seq,PE,UN,Human,3238007,3216627,0.9933971730141411,0.2566160142285693,2391189,1806156,0.7553380347601131,1461618,1005710,0.6880799223873817,965299,495485,469814,0.9598184367262929,0.000649566182894,0.0004807355070106,0.0003556880319457,0.0004781571141691,0.0001479299585624,0.0006349099975707,0.0005313846559288,0.0002161020103821,0.0007966886672655,0.0006015341788242,0.0064696245910429,0.0009789250018382,6893,3328,633,181,0.0006192893227955,0.0446737907407984,72.13718870388035
20220113_NASCseq_K562,20220113_08_01,K562,100,3.0,NASC-seq,PE,UN,Human,3910176,3877561,0.9916589432291539,0.21181072328713846,3056252,2352840,0.7698448949890258,2075074,1464459,0.7057382049989542,1412895,713798,699097,0.9647897278107479,0.000727472008244,0.000486182396316,0.0003863054820112,0.0005188575813707,0.0001355919879535,0.0006869112329248,0.0006092931463354,0.0002504680787731,0.0009429903803677,0.0006853981142226,0.0105530718898774,0.0011129870711732,5998,3884,327,149,0.0006650058759869,0.0487858095405925,73.36147138277123
20220113_NASCseq_K562,20220113_08_02,K562,100,3.0,NASC-seq,PE,UN,Human,3634844,3611657,0.9936209091779454,0.2761344723488416,2614354,1990651,0.7614313134334524,1558021,1068784,0.6859881862953067,1028478,529610,498868,0.9622879833530442,0.0006721691621737,0.0004320084510775,0.000365337591046,0.0005001469030731,0.0001333813887239,0.0006167575545399,0.0005426598586199,0.0002308051758287,0.0008777054920924,0.0006296655938296,0.0029318324391039,0.0010665231440421,4667,1697,293,104,0.0005932767219178,0.0127369252562793,21.468776349601963
20220113_NASCseq_K562,20220113_08_03,K562,100,3.0,NASC-seq,PE,UN,Human,3537522,3512877,0.9930332588744324,0.11948838516122251,3093129,2381005,0.7697722920705862,2232977,1527971,0.6842752970585904,1483158,748584,734574,0.9706715637927683,0.0007173673138066,0.0004438720416084,0.0003610683174443,0.0004980645410853,0.0001284307746495,0.0006031247911342,0.0005316402350351,0.0002319417821752,0.0008437013085111,0.0006368152763607,0.008174306042031,0.0011217103731202,4509,2467,248,88,0.0005912587320508,0.0499098549508653,84.4128843184253
20220113_NASCseq_K562,20220113_08_05,K562,100,3.0,NASC-seq,PE,UN,Human,3479967,3454265,0.9926142977792606,0.18335999119928548,2820891,2250490,0.7977940303258793,1873114,1269617,0.6778108540110213,1221230,621144,600086,0.9618885065338603,0.0008778981532392,0.0004011272438463,0.0003915989476012,0.000550603913523,0.000145497074885,0.0006080493205935,0.0005188535191638,0.0002163518877037,0.0008831881545687,0.0006291263517735,0.0055470310230548,0.001230585893438,4152,2036,234,71,0.0005668034917276,0.0396186271695519,69.89834704227555
20220113_NASCseq_K562,20220113_08_06,K562,100,3.0,NASC-seq,PE,UN,Human,3833688,3808156,0.9933400944469137,0.10246087607755561,3417969,2832539,0.8287199210993429,2538136,1747898,0.6886541934711142,1675507,847928,827579,0.9585839677143632,0.0005722425447924,0.0005523246665533,0.0003404672666044,0.0005089928481289,0.0001307458034214,0.0005637581436702,0.0005184771615599,0.000218197433046,0.0008166295438921,0.0006162824182808,0.0084207976072623,0.0009486177589675,5170,2596,419,173,0.0006292252348206,0.0516758302063216,82.12612487013043
20220113_NASCseq_K562,20220113_08_07,K562,100,3.0,NASC-seq,PE,UN,Human,3657682,3633041,0.9932632197112816,0.26137002032181855,2683473,1840997,0.6860501298131191,1467994,974129,0.6635783252520105,940108,476011,464097,0.9650754674175597,0.0006254219206381,0.0003963132927864,0.0003533714163291,0.0005902072031295,0.0001291765388415,0.000590962523328,0.000551307272869,0.0002226177296147,0.0009441722204198,0.0006052723278142,0.0045604205670114,0.0009972593915624,4048,1704,207,60,0.0005705800807873,0.0402273318010942,70.5025169220547
20220113_NASCseq_K562,20220113_08_08,K562,100,3.0,NASC-seq,PE,UN,Human,4155883,4118749,0.9910647147669942,0.32120408405561984,2795790,2121124,0.7586850228379098,1892990,1318749,0.6966486880543479,1251053,645636,605417,0.9486665013584844,0.000804003318161,0.0005027863138403,0.0003852329878586,0.0004289512613379,0.0001626424363492,0.0005974063483333,0.0005610445365684,0.0002329880365261,0.0007251484952636,0.0006830245982019,0.0072010393867414,0.0012569552631156,6811,3593,680,231,0.0006294108514208,0.046305284029148,73.56924960002955
20220113_NASCseq_K562,20220113_10_02,K562,200,3.0,NASC-seq,PE,UN,Human,4500134,4472147,0.9937808518590779,0.3296029848750499,2998114,2209186,0.7368585717554436,1885227,1264210,0.6705876798921298,1229046,636371,592675,0.972185000909659,0.0004913497148957,0.0003828468335814,0.0003334026249443,0.0004763799277676,0.0001212141097344,0.0006517393827002,0.0005403880315804,0.0002138213832229,0.0008506130321034,0.0006014581800185,0.0025473944731002,0.0009243549751086,4777,1746,322,60,0.000578361951653,0.0225411316755838,38.97409158945693
20220113_NASCseq_K562,20220113_10_04,K562,200,3.0,NASC-seq,PE,UN,Human,3713178,3688900,0.9934616654520737,0.2994906340643553,2584109,1931031,0.7472714966744823,1558473,1078183,0.6918201341954593,1041205,543803,497402,0.9657034102745081,0.0005980141200119,0.0004186267437242,0.0003478159372948,0.0005043716190002,0.0001264181008697,0.0006454008571564,0.0005403808938374,0.0002053627786615,0.0008967075817099,0.000634874597751,0.0039718961422764,0.0010233476089246,3783,1596,222,81,0.0005944142596352,0.0364509667858489,61.32249722308865
